Mode,Time(s),Value
DCV,0.0081070000,6.1784418E+01
DCV,0.0239579994,6.1784870E+01
DCV,0.0400569998,6.1784027E+01
DCV,0.0626629964,6.1784027E+01
DCV,0.0781150013,6.1784418E+01
DCV,0.1010409966,6.1782853E+01
DCV,0.1194140017,6.1782522E+01
DCV,0.1348550022,6.1784148E+01
DCV,0.1501889974,6.1783455E+01
DCV,0.1730069965,6.1783455E+01
DCV,0.1883479953,6.1783967E+01
DCV,0.2040500045,6.1783696E+01
DCV,0.2267729938,6.1783395E+01
DCV,0.2418660074,6.1781830E+01
DCV,0.2648200095,6.1781920E+01
DCV,0.2802349925,6.1782071E+01
DCV,0.2959649861,6.1783064E+01
DCV,0.3188180029,6.1782432E+01
DCV,0.3338969946,6.1783335E+01
DCV,0.3566550016,6.1784840E+01
DCV,0.3724690080,6.1784870E+01
DCV,0.3879089952,6.1782763E+01
DCV,0.4102750123,6.1782252E+01
DCV,0.4255549908,6.1781981E+01
DCV,0.4482710063,6.1783034E+01
DCV,0.4639590085,6.1782161E+01
DCV,0.4795440137,6.1781258E+01
DCV,0.5019090176,6.1782041E+01
DCV,0.5169399977,6.1784087E+01
DCV,0.5400400162,6.1784298E+01
DCV,0.5555289984,6.1783907E+01
DCV,0.5706459880,6.1785261E+01
DCV,0.5931479931,6.1785291E+01
DCV,0.6081789732,6.1783154E+01
DCV,0.6312450171,6.1781650E+01
DCV,0.6468430161,6.1782342E+01
DCV,0.6620810032,6.1783034E+01
DCV,0.6845579743,6.1783786E+01
DCV,0.7002310157,6.1784087E+01
DCV,0.7162020206,6.1784719E+01
DCV,0.7394369841,6.1784148E+01
DCV,0.7550299764,6.1782673E+01
DCV,0.7701799870,6.1783606E+01
DCV,0.7924969792,6.1784539E+01
DCV,0.8083400130,6.1783967E+01
DCV,0.8314499855,6.1783937E+01
DCV,0.8467980027,6.1783485E+01
DCV,0.8621109724,6.1783485E+01
DCV,0.8846809864,6.1784388E+01
DCV,0.9003739953,6.1783997E+01
DCV,0.9235309958,6.1783124E+01
DCV,0.9388970137,6.1783335E+01
DCV,0.9539620280,6.1783546E+01
DCV,0.9768589735,6.1781860E+01
DCV,0.9924010038,6.1782643E+01
DCV,1.0155769587,6.1781890E+01
DCV,1.0309319496,6.1782191E+01
DCV,1.0460189581,6.1783275E+01
DCV,1.0689059496,6.1783245E+01
DCV,1.0844470263,6.1783937E+01
DCV,1.1000119448,6.1784780E+01
DCV,1.1178159714,6.1785502E+01
DCV,1.1409180164,6.1784629E+01
DCV,1.1563669443,6.1783485E+01
DCV,1.1793889999,6.1781860E+01
DCV,1.1947400570,6.1783004E+01
DCV,1.2098579407,6.1784449E+01
DCV,1.2327649593,6.1783636E+01
DCV,1.2481280565,6.1782101E+01
DCV,1.2708859444,6.1782643E+01
DCV,1.2867319584,6.1782703E+01
DCV,1.3020930290,6.1783786E+01
DCV,1.3248569965,6.1785050E+01
DCV,1.3404779434,6.1784268E+01
DCV,1.3557809591,6.1783756E+01
DCV,1.3786859512,6.1783154E+01
DCV,1.3945590258,6.1782703E+01
DCV,1.4172610044,6.1782974E+01
DCV,1.4323699474,6.1783425E+01
DCV,1.4478210211,6.1783185E+01
DCV,1.4707690477,6.1783696E+01
DCV,1.4864499569,6.1783967E+01
DCV,1.5020519495,6.1783425E+01
DCV,1.5244430304,6.1783395E+01
DCV,1.5396519899,6.1782161E+01
DCV,1.5629069805,6.1781920E+01
DCV,1.5783339739,6.1783726E+01
DCV,1.5934449434,6.1783606E+01
DCV,1.6159479618,6.1782643E+01
DCV,1.6311520338,6.1783215E+01
DCV,1.6541850567,6.1784238E+01
DCV,1.6698729992,6.1784479E+01
DCV,1.6850240231,6.1784178E+01
DCV,1.7073580027,6.1782432E+01
DCV,1.7227890491,6.1781981E+01
DCV,1.7457150221,6.1783425E+01
DCV,1.7610859871,6.1783696E+01
DCV,1.7764170170,6.1783004E+01
DCV,1.7986949682,6.1783395E+01
DCV,1.8138910532,6.1783124E+01
DCV,1.8370139599,6.1782552E+01
DCV,1.8523709774,6.1783877E+01
DCV,1.8674459457,6.1784148E+01
DCV,1.8899569511,6.1783546E+01
DCV,1.9051699638,6.1782944E+01
DCV,1.9235969782,6.1782522E+01
DCV,1.9465490580,6.1782823E+01
DCV,1.9616539478,6.1784087E+01
DCV,1.9842070341,6.1783485E+01
DCV,1.9996609688,6.1782613E+01
DCV,2.0150310993,6.1781981E+01
DCV,2.0376501083,6.1783726E+01
DCV,2.0526919365,6.1783907E+01
DCV,2.0752699375,6.1784569E+01
DCV,2.0912809372,6.1784479E+01
DCV,2.1069009304,6.1783516E+01
DCV,2.1295239925,6.1782733E+01
DCV,2.1448130608,6.1782823E+01
DCV,2.1601049900,6.1783395E+01
DCV,2.1831328869,6.1783877E+01
DCV,2.1986761093,6.1784930E+01
DCV,2.2210230827,6.1784599E+01
DCV,2.2360188961,6.1783817E+01
DCV,2.2517430782,6.1784418E+01
DCV,2.2749509811,6.1785472E+01
DCV,2.2904410362,6.1784509E+01
DCV,2.3130600452,6.1784418E+01
DCV,2.3283529282,6.1783756E+01
DCV,2.3439900875,6.1782733E+01
DCV,2.3673920631,6.1782402E+01
DCV,2.3828558922,6.1782492E+01
DCV,2.3979730606,6.1784057E+01
DCV,2.4210519791,6.1784629E+01
DCV,2.4367918968,6.1783606E+01
DCV,2.4522030354,6.1783696E+01
DCV,2.4748039246,6.1783245E+01
DCV,2.4898350239,6.1783245E+01
DCV,2.5079550743,6.1784178E+01
DCV,2.5311989784,6.1783786E+01
DCV,2.5468149185,6.1783726E+01
DCV,2.5621609688,6.1783305E+01
DCV,2.5850250721,6.1783907E+01
DCV,2.6006870270,6.1784238E+01
DCV,2.6236391068,6.1784298E+01
DCV,2.6391880512,6.1783636E+01
DCV,2.6542859077,6.1783275E+01
DCV,2.6770229340,6.1783275E+01
DCV,2.6927149296,6.1782041E+01
DCV,2.7157518864,6.1782342E+01
DCV,2.7314200401,6.1782703E+01
DCV,2.7468030453,6.1782884E+01
DCV,2.7696630955,6.1783064E+01
DCV,2.7853369713,6.1783064E+01
DCV,2.8010780811,6.1784870E+01
DCV,2.8234779835,6.1784268E+01
DCV,2.8385379314,6.1781138E+01
DCV,2.8614408970,6.1781529E+01
DCV,2.8769719601,6.1781740E+01
DCV,2.8925011158,6.1782011E+01
DCV,2.9154639244,6.1784328E+01
DCV,2.9308800697,6.1783696E+01
DCV,2.9463140965,6.1781740E+01
DCV,2.9691300392,6.1782462E+01
DCV,2.9846479893,6.1784057E+01
DCV,3.0075709820,6.1782673E+01
DCV,3.0231220722,6.1783275E+01
DCV,3.0384728909,6.1783485E+01
DCV,3.0612730980,6.1782673E+01
DCV,3.0768809319,6.1782914E+01
DCV,3.0923140049,6.1783305E+01
DCV,3.1153299809,6.1784057E+01
DCV,3.1314129829,6.1783455E+01
DCV,3.1499629021,6.1783817E+01
DCV,3.1656460762,6.1783817E+01
DCV,3.1885080338,6.1782763E+01
DCV,3.2039310932,6.1784148E+01
DCV,3.2265439034,6.1784539E+01
DCV,3.2417728901,6.1783305E+01
DCV,3.2573089600,6.1781469E+01
DCV,3.2807021141,6.1781620E+01
DCV,3.2960801125,6.1782944E+01
DCV,3.3184330463,6.1783817E+01
DCV,3.3339030743,6.1783606E+01
DCV,3.3494310379,6.1783636E+01
DCV,3.3726499081,6.1783696E+01
DCV,3.3882200718,6.1784087E+01
DCV,3.4033141136,6.1784599E+01
DCV,3.4257800579,6.1783546E+01
DCV,3.4415678978,6.1782823E+01
DCV,3.4642601013,6.1783726E+01
DCV,3.4793679714,6.1783726E+01
DCV,3.4946269989,6.1782432E+01
DCV,3.5171020031,6.1782432E+01
DCV,3.5326509476,6.1783726E+01
DCV,3.5555970669,6.1782402E+01
DCV,3.5707330704,6.1782823E+01
DCV,3.5857501030,6.1784388E+01
DCV,3.6084079742,6.1782613E+01
DCV,3.6239919662,6.1781228E+01
DCV,3.6469810009,6.1781951E+01
DCV,3.6621220112,6.1783365E+01
DCV,3.6771841049,6.1783786E+01
DCV,3.7002449036,6.1783576E+01
DCV,3.7159938812,6.1783395E+01
DCV,3.7387020588,6.1783696E+01
DCV,3.7540690899,6.1784117E+01
DCV,3.7691171169,6.1783365E+01
DCV,3.7875530720,6.1783485E+01
DCV,3.8104898930,6.1783756E+01
DCV,3.8256170750,6.1782823E+01
DCV,3.8478820324,6.1782462E+01
DCV,3.8633489609,6.1783907E+01
DCV,3.8791110516,6.1783636E+01
DCV,3.9021949768,6.1782462E+01
DCV,3.9178009033,6.1783756E+01
DCV,3.9402101040,6.1784418E+01
DCV,3.9556798935,6.1783185E+01
DCV,3.9715220928,6.1783034E+01
DCV,3.9944920540,6.1782884E+01
DCV,4.0098481178,6.1782522E+01
DCV,4.0251407623,6.1782402E+01
DCV,4.0479688644,6.1782673E+01
DCV,4.0635318756,6.1782763E+01
DCV,4.0866761208,6.1782552E+01
DCV,4.1020340919,6.1782853E+01
DCV,4.1171312332,6.1782733E+01
DCV,4.1404142380,6.1783847E+01
DCV,4.1559238434,6.1783004E+01
DCV,4.1714692116,6.1783064E+01
DCV,4.1943969727,6.1783666E+01
DCV,4.2097878456,6.1782853E+01
DCV,4.2325019836,6.1782131E+01
DCV,4.2480459213,6.1783004E+01
DCV,4.2635898590,6.1782492E+01
DCV,4.2863240242,6.1782914E+01
DCV,4.3020129204,6.1783817E+01
DCV,4.3173780441,6.1785020E+01
DCV,4.3399219513,6.1784749E+01
DCV,4.3557219505,6.1782974E+01
DCV,4.3786559105,6.1782131E+01
DCV,4.3940820694,6.1782252E+01
DCV,4.4094190598,6.1781710E+01
DCV,4.4319171906,6.1782853E+01
DCV,4.4474477768,6.1783636E+01
DCV,4.4707112312,6.1784208E+01
DCV,4.4860692024,6.1783245E+01
DCV,4.5011410713,6.1783606E+01
DCV,4.5238571167,6.1784208E+01
DCV,4.5393810272,6.1783335E+01
DCV,4.5550880432,6.1782492E+01
DCV,4.5779819489,6.1781920E+01
DCV,4.5930790901,6.1780837E+01
DCV,4.6157817841,6.1782402E+01
DCV,4.6313447952,6.1783576E+01
DCV,4.6470208168,6.1783004E+01
DCV,4.6698579788,6.1784027E+01
DCV,4.6849708557,6.1784268E+01
DCV,4.7074580193,6.1782823E+01
DCV,4.7232232094,6.1782914E+01
DCV,4.7386770248,6.1783365E+01
DCV,4.7610177994,6.1783245E+01
DCV,4.7762498856,6.1782643E+01
DCV,4.7986860275,6.1782583E+01
DCV,4.8142061234,6.1782853E+01
DCV,4.8300061226,6.1783817E+01
DCV,4.8524041176,6.1783907E+01
DCV,4.8674178123,6.1784900E+01
DCV,4.8900890350,6.1785050E+01
DCV,4.9057049751,6.1783215E+01
DCV,4.9211621284,6.1783154E+01
DCV,4.9437770844,6.1784298E+01
DCV,4.9588150978,6.1783576E+01
DCV,4.9816532135,6.1782613E+01
DCV,4.9976511002,6.1782853E+01
DCV,5.0130901337,6.1784208E+01
DCV,5.0355072021,6.1784238E+01
DCV,5.0507688522,6.1783576E+01
DCV,5.0736770630,6.1783275E+01
DCV,5.0894131660,6.1784569E+01
DCV,5.1050620079,6.1783305E+01
DCV,5.1275081635,6.1782342E+01
DCV,5.1431908607,6.1783485E+01
DCV,5.1592259407,6.1783485E+01
DCV,5.1818971634,6.1782884E+01
DCV,5.1969947815,6.1783305E+01
DCV,5.2194929123,6.1785020E+01
DCV,5.2349209785,6.1784960E+01
DCV,5.2505960464,6.1783756E+01
DCV,5.2737832069,6.1784569E+01
DCV,5.2891330719,6.1784900E+01
DCV,5.3042092323,6.1783455E+01
DCV,5.3272771835,6.1782944E+01
DCV,5.3428368568,6.1783726E+01
DCV,5.3660187721,6.1783696E+01
DCV,5.3813757896,6.1784087E+01
DCV,5.3965878487,6.1783696E+01
DCV,5.4196071625,6.1783937E+01
DCV,5.4351768494,6.1784539E+01
DCV,5.4508152008,6.1784719E+01
DCV,5.4737319946,6.1784870E+01
DCV,5.4893841743,6.1784659E+01
DCV,5.5120730400,6.1783215E+01
DCV,5.5276288986,6.1781800E+01
DCV,5.5432400703,6.1782673E+01
DCV,5.5659489632,6.1783154E+01
DCV,5.5816497803,6.1782462E+01
DCV,5.5970110893,6.1783967E+01
DCV,5.6195430756,6.1783817E+01
DCV,5.6352519989,6.1784418E+01
DCV,5.6582798958,6.1784509E+01
DCV,5.6737198830,6.1781830E+01
DCV,5.6890850067,6.1782673E+01
DCV,5.7116150856,6.1781890E+01
DCV,5.7271428108,6.1782763E+01
DCV,5.7504491806,6.1782613E+01
DCV,5.7658162117,6.1782252E+01
DCV,5.7808852196,6.1783365E+01
DCV,5.8035669327,6.1784298E+01
DCV,5.8190708160,6.1784298E+01
DCV,5.8347902298,6.1784509E+01
DCV,5.8576931953,6.1783245E+01
DCV,5.8728241920,6.1782161E+01
DCV,5.8953027725,6.1781168E+01
DCV,5.9085750580,6.1782161E+01
DCV,5.9315629005,6.1782432E+01
DCV,5.9469032288,6.1782342E+01
DCV,5.9694719315,6.1782884E+01
DCV,5.9848499298,6.1691875E+01
DCV,6.0005879402,6.1478830E+01
DCV,6.0235152245,6.1261541E+01
DCV,6.0386781693,6.1103360E+01
DCV,6.0611882210,6.0945901E+01
DCV,6.0764012337,6.0787118E+01
DCV,6.0918941498,6.0630472E+01
DCV,6.1148262024,6.0474608E+01
DCV,6.1299610138,6.0317389E+01
DCV,6.1481299400,6.0160803E+01
DCV,6.1715898514,6.0002983E+01
DCV,6.1870460510,5.9754154E+01
DCV,6.2021532059,5.9390873E+01
DCV,6.2246317863,5.9026448E+01
DCV,6.2396211624,5.8719054E+01
DCV,6.2622461319,5.8415031E+01
DCV,6.2781171799,5.8115161E+01
DCV,6.2934751511,5.8899717E+01
DCV,6.3158302307,5.9935208E+01
DCV,6.3310699463,6.0144491E+01
DCV,6.3466739655,6.0026187E+01
DCV,6.3698158264,5.9889283E+01
DCV,6.3854541779,5.9664801E+01
DCV,6.4078269005,5.9312084E+01
DCV,6.4231748581,5.8944198E+01
DCV,6.4390392303,5.8641529E+01
DCV,6.4619979858,5.8343584E+01
DCV,6.4773569107,5.8048198E+01
DCV,6.4999299049,5.8912778E+01
DCV,6.5154571533,5.9944357E+01
DCV,6.5310487747,6.0072804E+01
DCV,6.5541992188,5.9953867E+01
DCV,6.5695562363,5.9817565E+01
DCV,6.5846238136,5.9673379E+01
DCV,6.6076378822,5.9524497E+01
DCV,6.6231970787,5.9372906E+01
DCV,6.6461501122,5.9220413E+01
DCV,6.6617307663,5.9228539E+01
DCV,6.6770839691,6.0258402E+01
DCV,6.7000007629,6.1387460E+01
DCV,6.7157769203,6.1498422E+01
DCV,6.7313652039,6.1531467E+01
DCV,6.7540597916,6.1551751E+01
DCV,6.7698712349,6.1566016E+01
DCV,6.7852821350,6.1574413E+01
DCV,6.8079280853,6.1583773E+01
DCV,6.8236842155,6.1590815E+01
DCV,6.8464889526,6.1596322E+01
DCV,6.8620400429,6.1600897E+01
DCV,6.8776202202,6.1605200E+01
DCV,6.9001779556,6.1609624E+01
DCV,6.9156799316,6.1615704E+01
DCV,6.9313721657,6.1620459E+01
DCV,6.9542241096,6.1622656E+01
DCV,6.9695739746,6.1624672E+01
DCV,6.9923429489,6.1627140E+01
DCV,7.0078887939,6.1629186E+01
DCV,7.0235471725,6.1631835E+01
DCV,7.0464558601,6.1633069E+01
DCV,7.0615601540,6.1635386E+01
DCV,7.0842671394,6.1638576E+01
DCV,7.0997619629,6.1640563E+01
DCV,7.1155428886,6.1643753E+01
DCV,7.1383748055,6.1647033E+01
DCV,7.1538920403,6.1647214E+01
DCV,7.1695041656,6.1649019E+01
DCV,7.1926832199,6.1650644E+01
DCV,7.2081432343,6.1650735E+01
DCV,7.2305312157,6.1651728E+01
DCV,7.2458710670,6.1654527E+01
DCV,7.2610921860,6.1655881E+01
DCV,7.2840089798,6.1656724E+01
DCV,7.2995991707,6.1659011E+01
DCV,7.3219838142,6.1661599E+01
DCV,7.3370079994,6.1663104E+01
DCV,7.3524098396,6.1664187E+01
DCV,7.3752470016,6.1665512E+01
DCV,7.3906412125,6.1664609E+01
DCV,7.4132189751,6.1664428E+01
