Time,Voltage,Current,Total mAh,Temperature,,Total mAh,Voltage
0.060535669,4.131979,4.197849,0.583034583,25,,0.583034583,4.131979
0.535994768,4.129015,4.196963,1.165946111,25,,1.165946111,4.129015
1.034929752,4.12772,4.197723,1.748963194,25,,1.748963194,4.12772
1.531977415,4.125393,4.197261,2.331916111,25,,2.331916111,4.125393
2.034778595,4.124109,4.197778,2.914940833,25,,2.914940833,4.124109
2.533787251,4.122012,4.197285,3.497897083,24.937,,3.497897083,4.122012
3.043089628,4.120822,4.197833,4.080929444,24.937,,4.080929444,4.120822
3.541934013,4.119016,4.197269,4.663883472,24.937,,4.663883472,4.119016
4.031044722,4.118275,4.197731,5.246901667,24.937,,5.246901667,4.118275
4.532547235,4.116282,4.197034,5.829823056,24.937,,5.829823056,4.116282
5.030895472,4.115561,4.197387,6.412793472,25,,6.412793472,4.115561
5.536414146,4.113756,4.197316,6.995754028,25,,6.995754028,4.113756
6.054249287,4.113067,4.197872,7.578791806,24.937,,7.578791806,4.113067
6.564537764,4.111293,4.197348,8.161756806,24.937,,8.161756806,4.111293
7.036496878,4.110823,4.197512,8.744744583,24.937,,8.744744583,4.110823
7.536230803,4.109226,4.197136,9.327680139,24.937,,9.327680139,4.109226
8.049319744,4.108799,4.197661,9.910688611,24.937,,9.910688611,4.108799
8.53462863,4.107504,4.19723,10.49363722,25,,10.49363722,4.107504
9.032108068,4.106836,4.197739,11.07665653,25,,11.07665653,4.106836
9.543864012,4.105406,4.197363,11.65962361,25,,11.65962361,4.105406
10.04514194,4.104968,4.19788,12.2426625,24.937,,12.2426625,4.104968
10.53296304,4.103726,4.197332,12.82562528,24.937,,12.82562528,4.103726
11.03586698,4.103267,4.197723,13.40864236,24.937,,13.40864236,4.103267
11.53277636,4.101962,4.197277,13.9915975,24.937,,13.9915975,4.101962
12.03502107,4.101586,4.197559,14.57459181,24.937,,14.57459181,4.101586
12.5417316,4.100334,4.19712,15.15752514,24.937,,15.15752514,4.100334
13.04716706,4.100198,4.197802,15.74055319,24.937,,15.74055319,4.100198
13.53519154,4.098591,4.197198,16.32349736,24.937,,16.32349736,4.098591
14.03359532,4.09857,4.197512,16.90648514,24.937,,16.90648514,4.09857
14.53453159,4.097266,4.197379,17.48945444,24.937,,17.48945444,4.097266
15.03244019,4.097161,4.197598,18.07245417,24.937,,18.07245417,4.097161
15.5365622,4.095575,4.197026,18.65537444,24.937,,18.65537444,4.095575
16.05725193,4.09547,4.197872,19.23841222,24.937,,19.23841222,4.09547
16.55433202,4.09426,4.197708,19.82142722,24.937,,19.82142722,4.09426
17.03462267,4.093905,4.197771,20.40445097,24.937,,20.40445097,4.093905
17.53524804,4.092997,4.197042,20.98737347,24.937,,20.98737347,4.092997
18.03427148,4.092882,4.198076,21.57043958,24.937,,21.57043958,4.092882
18.53446102,4.091755,4.19694,22.15334792,24.937,,22.15334792,4.091755
19.03703094,4.091473,4.197817,22.73637806,24.875,,22.73637806,4.091473
19.53998876,4.090231,4.197253,23.31932986,24.875,,23.31932986,4.090231
20.0399065,4.090168,4.198241,23.90241889,24.937,,23.90241889,4.090168
20.53218484,4.088989,4.197426,24.48539472,24.937,,24.48539472,4.088989
21.03484583,4.088603,4.197762,25.06841722,24.937,,25.06841722,4.088603
21.53271508,4.087758,4.197144,25.65135389,24.937,,25.65135389,4.087758
22.03183794,4.087622,4.197551,26.23434708,24.937,,26.23434708,4.087622
22.54264379,4.086515,4.197237,26.81729667,24.937,,26.81729667,4.086515
23.04914737,4.086505,4.198006,27.40035306,24.937,,27.40035306,4.086505
23.53452611,4.085576,4.197433,27.98332986,24.937,,27.98332986,4.085576
24.0326972,4.085159,4.197606,28.56633069,24.937,,28.56633069,4.085159
24.53443217,4.084271,4.197841,29.14936417,24.937,,29.14936417,4.084271
25.03141141,4.084198,4.197912,29.7324075,25,,29.7324075,4.084198
25.53081203,4.083447,4.197261,30.31536042,25,,30.31536042,4.083447
26.05812335,4.083103,4.198437,30.89847667,25,,30.89847667,4.083103
26.55304265,4.081913,4.197559,31.48147097,25,,31.48147097,4.081913
27.03417397,4.082226,4.198013,32.06452833,24.937,,32.06452833,4.082226
27.53513026,4.081078,4.197159,32.64746708,24.937,,32.64746708,4.081078
28.03543568,4.081234,4.197958,33.23051681,24.937,,33.23051681,4.081234
28.53201389,4.080191,4.197042,33.81343931,24.937,,33.81343931,4.080191
29.04342103,4.08017,4.197935,34.39648583,24.937,,34.39648583,4.08017
29.55071759,4.078969,4.197512,34.97947361,25,,34.97947361,4.078969
30.0359211,4.07898,4.198013,35.56253097,25,,35.56253097,4.07898
30.53672194,4.077926,4.197387,36.14550139,25,,36.14550139,4.077926
31.0329268,4.077978,4.19788,36.72854028,25,,36.72854028,4.077978
31.53269839,4.07731,4.197324,37.31150194,24.937,,37.31150194,4.07731
32.03370333,4.07707,4.197825,37.89453319,24.937,,37.89453319,4.07707
32.55659461,4.076287,4.1973,38.47749153,24.937,,38.47749153,4.076287
33.05556893,4.07612,4.198139,39.06056639,24.937,,39.06056639,4.07612
33.53552055,4.075181,4.197324,39.64352806,24.937,,39.64352806,4.075181
34.03238583,4.075233,4.197762,40.22655056,24.937,,40.22655056,4.075233
34.53151274,4.074523,4.197629,40.80955458,24.937,,40.80955458,4.074523
35.03532267,4.074367,4.197684,41.39256625,24.937,,41.39256625,4.074367
35.53226042,4.073658,4.197418,41.97554097,24.937,,41.97554097,4.073658
36.03404379,4.073344,4.197935,42.5585875,24.937,,42.5585875,4.073344
36.54526973,4.07253,4.197622,43.14159056,24.937,,43.14159056,4.07253
37.03011775,4.072551,4.198092,43.72465889,24.937,,43.72465889,4.072551
37.53577542,4.071591,4.197042,44.30758139,24.937,,44.30758139,4.071591
38.03298092,4.071674,4.198483,44.89070403,24.937,,44.89070403,4.071674
38.53692651,4.070996,4.197481,45.4736875,25,,45.4736875,4.070996
39.04877806,4.071121,4.19817,46.05676667,25,,46.05676667,4.071121
39.55362344,4.070025,4.19741,46.63974028,25,,46.63974028,4.070025
40.0312705,4.070223,4.197645,47.22274653,24.937,,47.22274653,4.070223
40.53383684,4.068982,4.197778,47.80577125,24.937,,47.80577125,4.068982
41.03452539,4.069221,4.19799,48.38882542,24.937,,48.38882542,4.069221
41.5348444,4.068293,4.197183,48.9717675,24.937,,48.9717675,4.068293
42.03269839,4.068314,4.197849,49.55480208,25,,49.55480208,4.068314
42.55382419,4.067186,4.197316,50.13776264,25,,50.13776264,4.067186
43.05460739,4.067614,4.197731,50.72078083,24.937,,50.72078083,4.067614
43.53393197,4.066779,4.196893,51.30368264,24.937,,51.30368264,4.066779
44.03444123,4.066769,4.19759,51.88668125,24.937,,51.88668125,4.066769
44.53475881,4.066038,4.197253,52.46963306,25,,52.46963306,4.066038
45.03230357,4.066206,4.198045,53.05269486,25,,53.05269486,4.066206
45.53423452,4.065245,4.197747,53.63571528,24.937,,53.63571528,4.065245
46.04283619,4.065412,4.197762,54.21873778,24.937,,54.21873778,4.065412
46.55795956,4.064494,4.197316,54.80169833,25,,54.80169833,4.064494
47.03353715,4.064462,4.197645,55.38470458,24.937,,55.38470458,4.064462
47.53402877,4.06369,4.19723,55.96765319,24.937,,55.96765319,4.06369
48.03640056,4.063586,4.19752,56.55064208,24.937,,56.55064208,4.063586
48.5339489,4.063064,4.197653,57.13364944,24.937,,57.13364944,4.063064
49.05489016,4.063272,4.198037,57.71671014,25,,57.71671014,4.063272
49.55499625,4.062281,4.197598,58.29970986,25,,58.29970986,4.062281
50.03204608,4.06202,4.197653,58.88271722,24.937,,58.88271722,4.06202
50.53070593,4.061446,4.197379,59.46568653,24.937,,59.46568653,4.061446
51.03170466,4.061561,4.197496,60.04867208,24.937,,60.04867208,4.061561
51.53715825,4.060799,4.197308,60.63163153,24.937,,60.63163153,4.060799
52.03559828,4.060997,4.197488,61.21461597,24.937,,61.21461597,4.060997
52.54536271,4.060308,4.197551,61.79760917,24.875,,61.79760917,4.060308
53.05958033,4.059964,4.197669,62.38061875,24.875,,62.38061875,4.059964
53.5363996,4.059463,4.197277,62.96357389,24.937,,62.96357389,4.059463
54.03467011,4.059494,4.19828,63.54666833,24.937,,63.54666833,4.059494
54.53026152,4.058618,4.197159,64.12960708,24.937,,64.12960708,4.058618
55.03578877,4.058566,4.197449,64.71258611,24.937,,64.71258611,4.058566
55.54419661,4.058315,4.197316,65.29554667,24.937,,65.29554667,4.058315
56.05014443,4.058221,4.197708,65.87856167,24.937,,65.87856167,4.058221
56.53104329,4.057094,4.197018,66.46148083,24.937,,66.46148083,4.057094
57.03130698,4.057376,4.197512,67.04446861,24.875,,67.04446861,4.057376
57.53706956,4.05652,4.197418,67.62744333,24.875,,67.62744333,4.05652
58.03493881,4.056906,4.197771,68.21046708,24.937,,68.21046708,4.056906
58.53386211,4.05604,4.197018,68.79338625,24.937,,68.79338625,4.05604
59.06262612,4.055706,4.197943,69.37643389,24.937,,69.37643389,4.055706
59.55561399,4.055027,4.197348,69.95939889,24.875,,69.95939889,4.055027
60.03077078,4.055278,4.197645,70.54240514,24.875,,70.54240514,4.055278
60.5350709,4.054944,4.197285,71.12536139,24.875,,71.12536139,4.054944
