Time,Voltage,Current,Total mAh,Temperature,,Total mAh,Voltage
0.053711891,4.129923,4.197927,0.583045417,24.937,,0.583045417,4.129923
0.547258139,4.12699,4.197731,0.816252694,24.937,,0.816252694,4.12699
0.748141289,4.067886,8.397422,1.282776139,24.937,,1.282776139,4.067886
0.963608503,4.065683,8.398182,1.749341806,24.937,,1.749341806,4.065683
1.156358242,4.063033,8.398331,2.21591575,24.937,,2.21591575,4.063033
1.335665703,4.060789,8.397814,2.682460972,24.937,,2.682460972,4.060789
1.535614014,4.058576,8.397821,3.149006583,24.937,,3.149006583,4.058576
1.755745649,4.056478,8.39779,3.615550472,25,,3.615550472,4.056478
1.931532383,4.055278,8.397844,4.082097361,25,,4.082097361,4.055278
2.134531498,4.053921,8.398762,4.54869525,25,,4.54869525,4.053921
2.357448578,4.051332,8.398252,5.015264806,25,,5.015264806,4.051332
2.532522917,4.050153,8.398127,5.481827417,24.937,,5.481827417,4.050153
2.733414888,4.048442,8.398143,5.948390917,24.937,,5.948390917,4.048442
2.956429005,4.047763,8.398769,6.414989194,24.937,,6.414989194,4.047763
3.130597115,4.046459,8.398597,6.881577917,24.937,,6.881577917,4.046459
3.332365751,4.044716,8.398041,7.34813575,24.937,,7.34813575,4.044716
3.554409027,4.043286,8.398338,7.814710083,24.937,,7.814710083,4.043286
3.734606266,4.042127,8.397508,8.281238306,24.937,,8.281238306,4.042127
3.936294556,4.041595,8.398205,8.74780525,24.937,,8.74780525,4.041595
4.150342226,4.04052,8.398394,9.214382694,24.937,,9.214382694,4.04052
4.333457232,4.038693,8.398033,9.680940083,25,,9.680940083,4.038693
4.53484273,4.038088,8.398056,10.14749875,25,,10.14749875,4.038088
4.749238014,4.036491,8.398064,10.61405786,25,,10.61405786,4.036491
4.930218935,4.036178,8.398213,11.08062525,25,,11.08062525,4.036178
5.134430647,4.035385,8.39826,11.54719525,25,,11.54719525,4.035385
5.349806786,4.033809,8.397883,12.01374431,24.937,,12.01374431,4.033809
5.530133963,4.032859,8.398299,12.48031647,24.937,,12.48031647,4.032859
