Mode,Time(s),Value
DCV,0.0005820000,6.1699218E+01
DCV,0.0235580001,6.1699249E+01
DCV,0.0394020006,6.1698466E+01
DCV,0.0552680008,6.1699038E+01
DCV,0.0779770017,6.1699249E+01
DCV,0.0933339968,6.1698135E+01
DCV,0.1156509966,6.1697353E+01
DCV,0.1311209947,6.1696901E+01
DCV,0.1470600069,6.1695667E+01
DCV,0.1698140055,6.1697563E+01
DCV,0.1849520057,6.1699519E+01
DCV,0.2001810074,6.1698767E+01
DCV,0.2229460031,6.1698797E+01
DCV,0.2386479974,6.1697593E+01
DCV,0.2615959942,6.1695818E+01
DCV,0.2767440081,6.1697142E+01
DCV,0.2917909920,6.1697142E+01
DCV,0.3103150129,6.1698045E+01
DCV,0.3333829939,6.1697413E+01
DCV,0.3487400115,6.1697714E+01
DCV,0.3713090122,6.1698767E+01
DCV,0.3868049979,6.1699519E+01
DCV,0.4022800028,6.1700091E+01
DCV,0.4253129959,6.1698195E+01
DCV,0.4406659901,6.1698105E+01
DCV,0.4631080031,6.1697834E+01
DCV,0.4787630141,6.1697473E+01
DCV,0.4941129982,6.1697021E+01
DCV,0.5169219971,6.1698165E+01
DCV,0.5327010155,6.1698225E+01
DCV,0.5479810238,6.1699730E+01
DCV,0.5705869794,6.1698827E+01
DCV,0.5863190293,6.1698225E+01
DCV,0.6098260283,6.1698948E+01
DCV,0.6252639890,6.1696660E+01
DCV,0.6408969760,6.1696720E+01
DCV,0.6635800004,6.1696299E+01
DCV,0.6787520051,6.1697804E+01
DCV,0.6943510175,6.1699188E+01
DCV,0.7172409892,6.1699158E+01
DCV,0.7329739928,6.1699218E+01
DCV,0.7558509707,6.1700181E+01
DCV,0.7710189819,6.1699700E+01
DCV,0.7863540053,6.1699790E+01
DCV,0.8096179962,6.1698586E+01
DCV,0.8250510097,6.1697443E+01
DCV,0.8401629925,6.1698285E+01
DCV,0.8627380133,6.1699098E+01
DCV,0.8781160116,6.1699188E+01
DCV,0.9012870193,6.1698285E+01
DCV,0.9169200063,6.1698556E+01
DCV,0.9320690036,6.1699279E+01
DCV,0.9544190168,6.1699369E+01
DCV,0.9699860215,6.1698617E+01
DCV,0.9929450154,6.1697744E+01
DCV,1.0082999468,6.1698677E+01
DCV,1.0236029625,6.1697894E+01
DCV,1.0459320545,6.1698406E+01
DCV,1.0612330437,6.1698526E+01
DCV,1.0843269825,6.1698857E+01
DCV,1.0996789932,6.1699128E+01
DCV,1.1147580147,6.1699098E+01
DCV,1.1373059750,6.1699158E+01
DCV,1.1526809931,6.1699549E+01
DCV,1.1758069992,6.1699158E+01
DCV,1.1911489964,6.1699519E+01
DCV,1.2062369585,6.1698797E+01
DCV,1.2288010120,6.1697804E+01
