Time,Power
0.000000,68.32
0.000080,68.88
0.000160,68.88
0.000240,68.88
0.000320,68.88
0.000400,68.88
0.000480,68.88
0.000560,68.88
0.000640,68.32
0.000720,68.88
0.000800,68.88
0.000880,68.88
0.000960,68.32
0.001040,88.56
0.001120,68.88
0.001200,68.32
0.001280,68.88
0.001360,68.88
0.001440,68.88
0.001520,68.88
0.001600,68.88
0.001680,68.88
0.001760,68.88
0.001840,68.88
0.001920,68.88
0.002000,68.32
0.002080,68.32
0.002160,68.88
0.002240,68.88
0.002320,68.32
0.002400,68.88
0.002480,68.88
0.002560,68.88
0.002640,68.32
0.002720,68.88
0.002800,68.88
0.002880,68.88
0.002960,68.88
0.003040,68.88
0.003120,88.56
0.003200,68.88
0.003280,68.32
0.003360,68.88
0.003440,68.88
0.003520,68.88
0.003600,68.88
0.003680,68.88
0.003760,68.88
0.003840,68.88
0.003920,68.88
0.004000,88.56
0.004080,68.88
0.004160,68.88
0.004240,68.88
0.004320,68.88
0.004400,68.88
0.004480,88.56
0.004560,68.32
0.004640,68.88
0.004720,68.32
0.004800,49.2
0.004880,68.88
0.004960,68.88
0.005040,68.32
0.005120,49.2
0.005200,68.88
0.005280,68.88
0.005360,68.88
0.005440,68.32
0.005520,68.88
0.005600,68.88
0.005680,68.88
0.005760,68.32
0.005840,68.88
0.005920,87.84
0.006000,88.56
0.006080,68.88
0.006160,68.88
0.006240,68.32
0.006320,68.88
0.006400,68.88
0.006480,68.88
0.006560,68.88
0.006640,68.88
0.006720,68.88
0.006800,68.88
0.006880,88.56
0.006960,88.56
0.007040,68.88
0.007120,68.88
0.007200,68.32
0.007280,68.88
0.007360,68.88
0.007440,68.88
0.007520,68.88
0.007600,68.32
0.007680,68.88
0.007760,68.88
0.007840,68.88
0.007920,88.56
0.008000,68.88
0.008080,68.88
0.008160,68.88
0.008240,68.88
0.008320,68.88
0.008400,68.88
0.008480,68.88
0.008560,68.88
0.008640,68.88
0.008720,68.88
0.008800,68.32
0.008880,68.88
0.008960,68.88
0.009040,68.88
0.009120,68.88
0.009200,68.88
0.009280,68.88
0.009360,68.88
0.009440,68.88
0.009520,68.88
0.009600,68.88
0.009680,49.2
0.009760,68.88
0.009840,68.88
0.009920,68.88
0.010000,68.88
0.010080,68.88
0.010160,68.88
0.010240,68.88
0.010320,68.88
0.010400,68.88
0.010480,68.88
0.010560,68.32
0.010640,68.88
0.010720,68.88
0.010800,68.88
0.010880,68.32
0.010960,68.88
0.011040,68.88
0.011120,68.88
0.011200,68.32
0.011280,88.56
0.011360,68.88
0.011440,68.88
0.011520,68.88
0.011600,68.88
0.011680,68.88
0.011760,68.88
0.011840,68.88
0.011920,68.88
0.012000,68.32
