Time,Electrical Power,Mechanical Power
0.0,50.0,0.0
0.002,1253.3211722617823,27.376852598000042
0.004,1601.8000000000002,417.6150221546157
0.006,2059.197801299626,770.2713558873278
0.008,2457.595571619135,1100.9917385075858
0.01,2857.393591711363,1411.4410371259899
0.012,3264.193940901243,1661.3368412383777
0.014,3560.1945120147075,1865.9821914538813
0.016,3806.195218857701,2039.6946211148431
0.018000000000000002,3939.9677156401317,2190.457688594293
0.02,4079.9976916038386,2323.4472753370005
0.022,4277.9957901242415,2442.279148323754
0.024,4352.396056380692,2520.578541465543
0.026000000000000002,4058.3949490219698,2386.038407156556
0.028,3602.3990123554854,2233.207635078382
0.03,3235.980145064078,2066.559316925035
0.032,2960.1834024930713,1889.5023635299847
0.034,2648.2371680514725,1704.9882612474655
0.036000000000000004,2315.5605666062775,1514.5532444063103
0.038,2004.721088427967,1318.6700428521062
0.04,1727.4572065528428,1123.108991980683
0.042,1470.1432855325208,926.8464070133444
0.044,1184.147550034779,727.2724036504663
0.046,1001.7072499321205,540.78718262188
0.048,772.863340820672,366.8356952654487
0.05,563.923552426809,205.52910422373495
0.052000000000000005,451.89180222724445,61.71135906822467
0.054,417.7182059193518,-69.65228387402925
0.056,243.1037592599043,-183.7862049877548
0.058,81.6015144309385,-285.0348109308417
0.06,-20.422074037672928,-376.1630561027503
0.062,-77.99954979204183,-453.13368314423246
0.064,-139.51635017977924,-522.4812861478547
0.066,-156.25032538312345,-579.018400203459
0.068,-182.32170207194048,-627.8254005624054
0.07,-237.2610132189492,-697.6138233529065
0.07200000000000001,-333.6911395301446,-788.0186235064472
0.074,-385.6666828953203,-868.6763568210454
0.076,-415.1794580556631,-937.5746701153997
0.078,-379.9291799310496,-990.6238269323836
0.08,-423.4428131445319,-1033.0420262258444
0.082,-343.327172290238,-1064.9070055025109
0.084,-323.9444732142008,-1085.5189298578066
0.08600000000000001,-277.60365962499134,-1094.3703147715057
0.088,-299.4702942883081,-1091.262698924463
0.09,-222.9757436635678,-1075.7109231243135
0.092,-160.9970938724539,-1047.1794307513767
0.094,-183.37547639838408,-1005.1136232869358
0.096,-160.20353460350017,-948.9590315409428
0.098,-76.61565543962352,-878.1605765303013
0.1,-12.141049569804466,-792.1794834776169
0.10200000000000001,87.22874763816071,-690.4939153299782
0.10400000000000001,192.8075960627175,-572.5982257160233
0.106,380.49819748054284,-438.0077252255151
0.108,534.3016333875115,-286.2480377193665
0.11,751.3370465652927,-116.84568613646115
0.112,968.6735526037324,70.69091492674772
0.114,1211.1,275.3698630415188
0.116,1480.3999999999999,497.87806796591155
0.11800000000000001,1884.2,740.5433301065858
0.12,-357.979987790819,-653.7635136497402
0.122,-253.92708243275428,-513.9539241645122
0.124,-180.1866369270751,-408.49020163907653
0.126,-128.79516925839872,-325.3020042963192
0.128,-91.78055901020429,-252.49420615679048
0.13,53.21089367241649,-200.02874217888086
0.132,73.92456420834463,-161.9450475769176
0.134,93.73072374323807,-133.88093116805757
